dns.id	ip.src	ip.dst	frame.time_epoch	dns.qry.type	dns.qry.name.len	dns.qry.name	frame.len	dns.resp.ttl	dns.cname	dns.a	dns.aaaa	dns.txt
"0x00001487"	"187.124.15.148"	"187.124.27.211"	"1505818664.934454000"	"1"	"23"	"e10883.g.akamaiedge.net"	"103"	"20"		"92.122.200.75"		
"0x00006ed5"	"187.124.15.148"	"187.124.27.211"	"1505818664.935124000"	"28"	"23"	"e10883.g.akamaiedge.net"	"148"	"171"				
"0x00009949"	"187.124.15.148"	"187.124.27.211"	"1505818664.945059000"	"1"	"16"	"c.pebblemedia.be"	"268"	"176,176,60,60,60,60,60,60,60,60"	"cdn.pebblemedia.be,debp0sbrwcnr4.cloudfront.net"	"54.192.129.70,54.192.129.37,54.192.129.126,54.192.129.128,54.192.129.51,54.192.129.44,54.192.129.129,54.192.129.121"		
"0x0000388a"	"81.245.43.178"	"187.124.15.148"	"1505818664.974996000"	"1"	"27"	"pool-pebblemedia.adhese.com"	"123"	"360,360"		"37.72.160.14,37.72.160.15"		
"0x0000db66"	"187.124.15.148"	"187.124.27.211"	"1505818664.975142000"	"1"	"27"	"pool-pebblemedia.adhese.com"	"123"	"360,360"		"37.72.160.14,37.72.160.15"		
"0x0000b58e"	"187.124.15.148"	"187.124.27.211"	"1505818664.975895000"	"1"	"27"	"pool-pebblemedia.adhese.com"	"123"	"360,360"		"37.72.160.14,37.72.160.15"		
"0x0000ed21"	"241.87.217.158"	"187.124.15.148"	"1505818664.985517000"	"28"	"27"	"pool-pebblemedia.adhese.com"	"149"	"3600"				
"0x00003981"	"187.124.15.148"	"187.124.27.211"	"1505818664.985666000"	"28"	"27"	"pool-pebblemedia.adhese.com"	"149"	"3600"				
"0x00000744"	"187.124.15.148"	"187.124.27.211"	"1505818664.994965000"	"1"	"8"	"p.cpx.to"	"243"	"208,13,13,13,13,13,13,13,13"	"d38h9tm5yys4ws.cloudfront.net"	"54.192.129.35,54.192.129.64,54.192.129.122,54.192.129.124,54.192.129.245,54.192.129.53,54.192.129.83,54.192.129.4"		
"0x0000318a"	"187.124.15.148"	"187.124.27.211"	"1505818665.008681000"	"1"	"29"	"mt.mediapostcommunication.net"	"109"	"778"		"158.255.65.22"		
"0x000091ed"	"187.124.15.148"	"187.124.27.211"	"1505818665.009131000"	"1"	"29"	"mt.mediapostcommunication.net"	"109"	"778"		"158.255.65.22"		
"0x0000fc61"	"187.124.15.148"	"187.124.27.211"	"1505818665.009994000"	"28"	"29"	"mt.mediapostcommunication.net"	"147"	"486"				
"0x000038ed"	"187.124.15.148"	"187.124.27.211"	"1505818665.012819000"	"1"	"29"	"mp.mediapostcommunication.net"	"109"	"1738"		"158.255.65.22"		
"0x0000241d"	"187.124.15.148"	"187.124.27.211"	"1505818665.013216000"	"1"	"29"	"mp.mediapostcommunication.net"	"109"	"1738"		"158.255.65.22"		
"0x000066f9"	"73.174.167.213"	"187.124.15.148"	"1505818665.021243000"	"28"	"29"	"mp.mediapostcommunication.net"	"147"	"1800"				
"0x000006b2"	"187.124.15.148"	"187.124.27.211"	"1505818665.021367000"	"28"	"29"	"mp.mediapostcommunication.net"	"147"	"1800"				
"0x0000359b"	"235.151.44.151"	"187.124.15.148"	"1505818665.027677000"	"1"	"20"	"x6qut.x.incapdns.net"	"120"	"30"		"149.126.72.116"		
"0x000080dd"	"187.124.15.148"	"187.124.27.211"	"1505818665.037866000"	"1"	"25"	"rum-collector.pingdom.net"	"121"	"245,245"		"104.20.21.239,104.20.20.239"		
"0x00004db6"	"187.124.15.148"	"187.124.27.211"	"1505818665.038394000"	"1"	"25"	"rum-collector.pingdom.net"	"121"	"245,245"		"104.20.21.239,104.20.20.239"		
"0x0000d8a4"	"115.164.12.148"	"187.124.15.148"	"1505818665.040430000"	"1"	"16"	"live.eurekoo.com"	"201"	"900,86400,86400,86400,7200,300,7200"		"185.3.128.36,184.172.157.218,66.252.5.4,85.25.110.247"		
"0x00006d71"	"235.151.44.249"	"187.124.15.148"	"1505818665.040851000"	"1"	"20"	"x6qut.x.incapdns.net"	"120"	"30"		"149.126.72.116"		
"0x00002fd4"	"187.124.15.148"	"187.124.27.147"	"1505818665.040947000"	"1"	"20"	"x6qut.x.incapdns.net"	"100"	"30"		"149.126.72.116"		
"0x00003b2d"	"117.181.36.118"	"187.124.15.148"	"1505818665.044423000"	"28"	"25"	"rum-collector.pingdom.net"	"145"	"300,300"			"2400:cb00:2048:1::6814:15ef,2400:cb00:2048:1::6814:14ef"	
"0x00000602"	"187.124.15.148"	"187.124.27.211"	"1505818665.044552000"	"28"	"25"	"rum-collector.pingdom.net"	"145"	"300,300"			"2400:cb00:2048:1::6814:14ef,2400:cb00:2048:1::6814:15ef"	
"0x0000d446"	"187.124.15.148"	"187.124.189.243"	"1505818665.059762000"	"1"	"43"	"cdn-fastly.krxd.net.c.global-ssl.fastly.net"	"123"	"29"		"151.101.36.175"		
"0x00000750"	"77.173.91.215"	"187.124.15.148"	"1505818665.061613000"	"1"	"16"	"live.eurekoo.com"	"201"	"900,86400,86400,86400,7200,300,7200"		"185.3.128.36,184.172.157.218,66.252.5.4,85.25.110.247"		
"0x0000c460"	"187.124.15.148"	"187.124.27.211"	"1505818665.061716000"	"1"	"16"	"live.eurekoo.com"	"96"	"900"		"185.3.128.36"		
"0x00008777"	"187.124.15.148"	"187.124.27.211"	"1505818665.062597000"	"28"	"16"	"live.eurekoo.com"	"138"	"159"				
"0x00000fcb"	"187.124.15.148"	"187.124.189.243"	"1505818665.064270000"	"28"	"43"	"cdn-fastly.krxd.net.c.global-ssl.fastly.net"	"168"	"29"				
"0x000057c2"	"203.182.170.248"	"187.124.15.148"	"1505818665.072142000"	"16"	"34"	"67.162.19.213.ip.06.s.sophosxl.net"	"111"	"10"				""
"0x00003ab8"	"187.124.15.148"	"187.124.245.123"	"1505818665.072255000"	"16"	"34"	"67.162.19.213.ip.06.s.sophosxl.net"	"111"	"10"				""
"0x0000d20b"	"207.124.27.243"	"187.124.15.148"	"1505818665.072534000"	"16"	"217"	"3.1o19sr00nn3osn8qp374o3pqr896on929777q7s9so7s45n9r695n0qr927o8s2.n5qp8r741p635393648s29q02870452r9o0nrpos26r421r1o28rnps0ss8s8qr.p9114op23rror66r28q52r380n.3024s49p8so5rs21rr06399872036q5q1960pq34.i.03.s.sophosxl.net"	"281"					
"0x00004ea4"	"187.124.15.148"	"187.124.55.186"	"1505818665.072630000"	"16"	"217"	"3.1o19sr00nn3osn8qp374o3pqr896on929777q7s9so7s45n9r695n0qr927o8s2.n5qp8r741p635393648s29q02870452r9o0nrpos26r421r1o28rnps0ss8s8qr.p9114op23rror66r28q52r380n.3024s49p8so5rs21rr06399872036q5q1960pq34.i.03.s.sophosxl.net"	"281"					
"0x0000caf4"	"95.174.171.209"	"187.124.15.148"	"1505818665.074106000"	"16"	"243"	"3.1o19sr00n03pnr6sp37481pqr80s67680r77q7s9so7s45n9r66380rr4ro7072.845p1r741p635393648s20q0s0s3sq1popn98sss075431o0032np9205nrs9n8.rn5o428624o770034n33p76q83qr2o3p71nq7rpns970o9576p7r.993605r329756534p694o7284034rq70s6nn6p2p.i.00.s.sophosxl.net"	"374"	"300,300,300"				
"0x00003b22"	"203.182.164.218"	"187.124.15.148"	"1505818665.074834000"	"16"	"113"	"1.ornpba-2sq-2s0r8r5283-2q3431-2q41rp-2qn0q9-2qp2n857103202.ornpba-rh-nzf3.ehovpbacebwrpg.pbz.m.06.s.sophosxl.net"	"217"	"10"				"w u h 2 0	#faeaaeb8e3b1b790"
"0x0000baf2"	"187.124.15.148"	"187.124.245.123"	"1505818665.074977000"	"16"	"113"	"1.ornpba-2sq-2s0r8r5283-2q3431-2q41rp-2qn0q9-2qp2n857103202.ornpba-rh-nzf3.ehovpbacebwrpg.pbz.m.06.s.sophosxl.net"	"217"	"10"				"w u h 2 0	#faeaaeb8e3b1b790"
"0x0000ff72"	"245.175.198.222"	"187.124.15.148"	"1505818665.086826000"	"1"	"33"	"4.i.sxl2.eu-west-1.4.sophosxl.net"	"250"	"60,172800,172800,172800,172800"		"54.72.225.6"		
"0x0000a20f"	"203.219.233.150"	"187.124.15.148"	"1505818665.104511000"	"16"	"243"	"3.1o19sr00n03pnr6sp37481pqr80s67680r77q7s9so7s45n9r66380rr4ro7072.845p1r741p635393648s20q0s0s3sq1popn98sss075431o0032np9205nrs9n8.rn5o428624o770034n33p76q83qr2o3p71nq7rpns970o9576p7r.993605r329756534p694o7284034rq70s6nn6p2p.i.00.s.sophosxl.net"	"425"	"300,300,300"				"x c"
"0x00005f45"	"187.124.15.148"	"187.124.47.210"	"1505818665.104680000"	"16"	"243"	"3.1o19sr00n03pnr6sp37481pqr80s67680r77q7s9so7s45n9r66380rr4ro7072.845p1r741p635393648s20q0s0s3sq1popn98sss075431o0032np9205nrs9n8.rn5o428624o770034n33p76q83qr2o3p71nq7rpns970o9576p7r.993605r329756534p694o7284034rq70s6nn6p2p.i.00.s.sophosxl.net"	"323"	"300"				"x c"
"0x00006d05"	"203.182.164.218"	"187.124.15.148"	"1505818665.122650000"	"16"	"55"	"1.prqrkvf-2se20-2rtvs.5.135.137.172.m.04.s.sophosxl.net"	"159"	"10"				"w u h 0 0	#f0a7af38ef9d5eb4"
"0x0000cfb9"	"187.124.15.148"	"187.124.21.255"	"1505818665.122780000"	"16"	"55"	"1.prqrkvf-2se20-2rtvs.5.135.137.172.m.04.s.sophosxl.net"	"159"	"10"				"w u h 0 0	#f0a7af38ef9d5eb4"
"0x00005285"	"203.219.233.150"	"187.124.15.148"	"1505818665.140346000"	"16"	"227"	"3.1o18sr00n5q1o67sp3rq3045r8s4n9rps777q7s9so7s45n9r698r845r88sq62.8s6p5r741p635393648s291q31qr69n15091s1qn6s784n5p2rr48qs2o071nq8.rn1p4q9r2or7p7776q08r909rso27q0o83s92qns9n03s8032q7rq15sso9p.5o43qno73p91so1q.i.03.s.sophosxl.net"	"409"	"300,300,300"				"x u"
